year,asset_id,native_asset_id,asset_name,iso3_country,original_inventory_sector,activity,emissions_quantity,emissions_quantity_new,emissions_quantity_avoided,annexOrNot,lat,lon
2023,25776497,gpw100,"Avşa, Marmara, Balıkesir",TUR,solid-waste-disposal,52808.4527,2483.475913,446.8123183,2036.663595,true,40.50665889,27.51129305
2023,25770268,lmop175,Pittsylvania County Landfill,USA,solid-waste-disposal,48939.70074,2449.432022,414.078808,2035.353214,true,36.767,-79.4135
2023,728597,met3637,OpenStreetMap Landfill,TUR,solid-waste-disposal,46171.86771,2425.408211,390.6601727,2034.748038,true,40.03594583,40.47609235
2023,728298,met3338,OpenStreetMap Landfill,TUR,solid-waste-disposal,47185.05808,2433.946851,399.2327764,2034.714075,true,40.37837623,32.62918634
2023,25768992,can42,Fort Mcmurray Regional Landfill,CAN,solid-waste-disposal,86814.32051,2768.204831,734.5359658,2033.668865,true,56.63751,-111.36454
2023,728211,met3251,OpenStreetMap Landfill,TUR,solid-waste-disposal,45695.00712,2420.190357,386.6254552,2033.564902,true,39.0901286,32.67918161
2023,728604,met3644,OpenStreetMap Landfill,TUR,solid-waste-disposal,48166.97118,2439.65709,407.5407431,2032.116347,true,40.16047714,43.10276237
2023,728336,met3376,OpenStreetMap Landfill,TUR,solid-waste-disposal,38473.21058,2357.061246,325.5218347,2031.539411,true,37.04763236,36.37133089
2023,25767886,epa48,Blackburn Sanitary Landfill,USA,solid-waste-disposal,198132.7444,3707.261781,1676.401151,2030.860631,true,35.6077,-81.31
2023,25768063,epa224,Murray County Landfill,USA,solid-waste-disposal,1.012059516,2030.090183,0.008563035565,2030.08162,true,34.68076,-84.73063
2023,25776501,gpw104,"Udachiwadi, Purandhar, Pune District",IND,solid-waste-disposal,47364.01579,2429.205642,400.7469376,2028.458704,false,18.35760998,74.0787835
2023,727035,met19,OpenStreetMap Landfill,ARG,solid-waste-disposal,62808.41159,2559.631198,531.4219705,2028.209227,false,-31.1010525,-64.51365797
2023,25776507,gpw110,"Rathinamangalam, Chengalpattu, Chengalpattu District",IND,solid-waste-disposal,45491.69833,2406.601825,384.9052596,2021.696566,false,12.86389795,80.14419194
2023,25769876,eprtr632,"Unidade De Coimbra - Ersuc (Aterro, Tmb, Triagem, Cdr) (Ci)",PRT,solid-waste-disposal,47149.40382,2419.896002,398.9311057,2020.964896,true,40.285752,-8.470657
2023,25767976,epa138,Des Moines County Regional Solid Waste Commission,USA,solid-waste-disposal,53303.25856,2471.618796,450.9988707,2020.619925,true,40.849,-91.196
2023,728274,met3314,OpenStreetMap Landfill,TUR,solid-waste-disposal,44025.07718,2391.882443,372.496178,2019.386265,true,40.30562158,29.94217599
2023,727418,met2052,OpenStreetMap Landfill,CUB,solid-waste-disposal,60349.90013,2529.385014,510.620505,2018.764509,false,21.53668205,-78.23219337
2023,727822,met2626,OpenStreetMap Landfill,AUS,solid-waste-disposal,103776.8529,2895.893081,878.0559525,2017.837128,true,-27.5896485,152.840494
2023,25770509,lmop416,"Community Refuse Disposal, Incorporated - Norfolk",USA,solid-waste-disposal,48324.84,2424.118949,408.8764712,2015.242478,true,41.960578,-97.373175
2023,727380,met364,OpenStreetMap Landfill,COL,solid-waste-disposal,56744.21085,2493.510858,480.112768,2013.39809,false,10.80351346,-74.97150619
2023,25768253,epa414,Route 40 West Landfill,USA,solid-waste-disposal,158773.1875,3355.353772,1343.37994,2011.973833,true,39.6567,-77.82
